Start Sample,End Sample,Payload length,Bit Rate,Modulation,Code Rate,MAC1,MAC2,MAC3
6301,33421,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
35421,62541,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
64541,91660,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
93661,120780,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
122781,149900,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
151901,180870,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
181021,209867,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
210141,239029,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
239261,268359,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
268381,297479,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
297501,326565,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
326621,355629,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
355740,384815,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
384860,413958,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
413980,443042,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
443100,472148,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
472220,501304,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
501340,530444,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
530460,559564,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
559580,588657,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
